,status_group
56304,functional
56309,functional
56310,functional
56312,functional
56315,functional
56317,functional needs repair
56319,functional
56320,functional
56321,functional
56323,non functional
56327,functional
56329,functional
56333,functional
56336,functional
56337,functional
56338,functional needs repair
56339,functional
56341,functional
56344,functional needs repair
56345,non functional
56347,functional
56349,non functional
56351,non functional
56353,functional needs repair
56358,functional
56359,functional
56360,non functional
56361,non functional
56363,functional
56364,functional
56370,non functional
56375,non functional
56376,functional
56377,functional
56379,non functional
56380,functional
56381,functional needs repair
56388,functional
56389,non functional
56390,functional
56393,functional needs repair
56395,functional
56396,functional
56398,functional
56399,functional
56401,non functional
56402,functional
56405,functional needs repair
56406,functional
56408,functional
56409,functional
56411,functional
56414,functional
56415,functional
56418,functional
56419,non functional
56422,non functional
56425,functional
56426,functional
56427,functional
56428,functional
56430,non functional
56431,functional
56434,functional
56436,functional
56438,functional
56439,functional needs repair
56440,functional
56441,functional
56442,non functional
56447,functional
56448,non functional
56455,non functional
56457,functional
56458,non functional
56461,functional
56462,functional
56465,non functional
56468,functional
56471,functional
56473,functional
56475,functional
56477,functional
56481,non functional
56483,functional
56486,functional needs repair
56487,functional
56488,functional
56490,non functional
56493,functional
56494,functional
56495,functional
56497,functional
56499,functional
56502,non functional
56505,functional
56508,functional
56514,functional
56515,functional
56516,functional needs repair
56518,non functional
56519,non functional
56520,non functional
56521,non functional
56524,functional
56526,functional
56528,functional
56529,functional
56530,functional
56534,non functional
56535,functional
56537,functional
56538,functional
56539,functional
56540,functional
56541,non functional
56544,non functional
56547,functional
56548,functional
56549,functional
56552,functional
56553,functional
56556,functional
56557,functional
56559,functional
56561,functional
56562,functional
56563,functional
56564,functional
56566,non functional
56567,functional
56570,non functional
56572,functional
56573,non functional
56574,non functional
56575,non functional
56576,functional
56577,functional
56578,functional
56579,functional
56580,functional
56581,functional
56586,functional
56591,functional
56595,non functional
56596,non functional
56597,non functional
56600,functional
56602,non functional
56603,functional needs repair
56604,functional
56605,non functional
56606,functional
56608,functional
56610,functional
56611,non functional
56615,functional
56616,functional
56618,functional
56621,non functional
56622,non functional
56626,functional
56627,functional
56628,non functional
56629,functional
56630,functional needs repair
56631,non functional
56634,functional
56635,non functional
56637,non functional
56640,functional
56642,functional
56644,functional
56645,functional
56650,functional
56652,non functional
56654,non functional
56655,functional
56656,functional
56659,functional
56664,functional
56665,functional
56667,non functional
56668,functional
56669,functional
56670,functional
56672,non functional
56673,non functional
56678,functional needs repair
56679,functional
56680,functional
56681,functional
56682,non functional
56686,functional
56696,functional
56698,non functional
56700,functional needs repair
56704,functional
56706,non functional
56707,non functional
56709,functional needs repair
56710,functional
56711,functional
56715,functional
56717,non functional
56721,functional
56723,functional
56724,functional
56726,functional
56727,functional needs repair
56728,functional
56736,functional
56737,non functional
56739,functional
56741,non functional
56744,functional
56746,functional
56750,functional
56752,non functional
56753,functional
56754,non functional
56760,non functional
56761,functional
56764,functional
56765,non functional
56766,functional
56767,non functional
56769,functional
56770,non functional
56773,non functional
